host_time_s,front_ps_data,rear_ps_data
7.422976700000618,46.0,45.0
7.425989300000765,46.0,45.0
7.430668300000434,45.0,45.0
7.433140300000559,46.0,45.0
7.436036699999931,46.0,45.0
7.438999900000454,46.0,45.0
7.442018100000496,46.0,45.0
7.445121200000358,45.0,45.0
7.448039599999902,45.0,45.0
7.4518205000003945,45.0,45.0
7.455007300000034,45.0,45.0
7.458067999999912,45.0,45.0
7.46101280000039,45.0,45.0
7.464000599999963,45.0,45.0
7.46694000000025,45.0,45.0
7.469978900000569,44.0,45.0
7.473738000000594,45.0,45.0
7.476987200000622,45.0,45.0
7.480133100000785,45.0,45.0
7.482994500000132,46.0,45.0
7.4861478000002535,46.0,45.0
7.490063400000508,46.0,44.0
7.494562300000325,45.0,45.0
7.497005900000659,45.0,45.0
7.499953500000629,45.0,46.0
7.503010500000528,45.0,46.0
7.505921300000409,45.0,46.0
7.509003000000121,45.0,46.0
7.511970000000474,45.0,47.0
7.515719700000773,45.0,45.0
7.519028400000025,45.0,45.0
7.522000100000696,45.0,45.0
7.524940900000729,45.0,44.0
7.527936800000134,45.0,44.0
7.530943000000661,45.0,44.0
7.533953800000745,45.0,44.0
7.5378295000000435,45.0,45.0
7.540902200000346,45.0,45.0
7.543995600000017,45.0,45.0
7.546989500000564,45.0,45.0
7.549898100000064,45.0,45.0
7.552914599999895,45.0,45.0
7.55593940000017,45.0,45.0
7.559017399999902,45.0,45.0
7.561883000000307,45.0,45.0
7.564923599999929,45.0,45.0
7.568075500000305,44.0,45.0
7.571069800000259,44.0,44.0
7.573981300000014,44.0,44.0
7.5770963000004485,44.0,44.0
7.581701400000384,45.0,45.0
7.584002300000066,45.0,46.0
7.5870388000003,45.0,46.0
7.591197000000648,45.0,46.0
7.594064800000524,45.0,46.0
7.597067800000332,45.0,46.0
7.600772300000244,45.0,45.0
7.604099000000133,46.0,45.0
7.607234300000528,46.0,45.0
7.610179799999969,46.0,45.0
7.613196199999948,46.0,45.0
7.616048000000774,45.0,45.0
7.6189807999999175,45.0,45.0
7.6220341000007465,45.0,45.0
7.625062300000536,45.0,45.0
7.62798870000006,46.0,45.0
7.631072900000618,46.0,45.0
7.633929900000112,46.0,45.0
7.636953200000789,46.0,45.0
7.639970300000641,46.0,45.0
7.643743600000562,45.0,45.0
7.647029400000065,45.0,44.0
7.649974200000543,45.0,44.0
7.653009800000291,45.0,44.0
7.656139500000791,45.0,45.0
7.659034300000712,45.0,45.0
7.662063200000375,45.0,45.0
7.66493040000023,45.0,45.0
7.667963700000655,45.0,45.0
7.671084000000519,45.0,45.0
7.6739981999999145,45.0,45.0
7.6769835000004605,45.0,45.0
7.68006620000051,45.0,45.0
7.6829702000004545,45.0,45.0
7.685969500000283,45.0,45.0
7.690132800000356,45.0,45.0
7.69302770000013,45.0,45.0
7.6961928999999145,45.0,45.0
7.698914600000535,45.0,45.0
7.701936800000112,45.0,45.0
7.70521700000063,45.0,45.0
7.70804920000046,45.0,45.0
7.711178200000177,45.0,45.0
7.7140785000001415,44.0,45.0
7.716957399999956,44.0,45.0
7.720120599999973,44.0,45.0
7.723167699999976,44.0,45.0
7.72594990000016,44.0,45.0
7.72974830000021,45.0,45.0
7.73296130000017,45.0,45.0
7.736087700000098,45.0,45.0
7.738978700000189,45.0,45.0
7.741962600000079,45.0,45.0
7.745097500000156,45.0,45.0
7.747918000000027,45.0,45.0
7.751001100000394,45.0,45.0
7.754054700000779,45.0,45.0
7.7569765000007465,45.0,45.0
7.760090400000081,45.0,45.0
7.76288040000054,45.0,45.0
7.765926699999909,45.0,45.0
